,genero,monto,hora,establecimiento,ciudad,tipo_tc,linea_tc,interes_tc,status_txn,is_prime,cashback,fraude,Dia,Sistema,device_score,Flag_dcto
31,M,594.7690794549325,3,No registrado,No registrado,Virtual,76000,58,Rechazada,0,10.705843430188784,0,Sunday,WEB,4,1
32,M,689.4506892865352,4,Restaurante,No registrado,Física,76000,58,Aceptada,0,6.894506892865352,0,Wednesday,.,1,0
33,M,51.58899491792657,3,Super,No registrado,Física,76000,58,En proceso,0,0.5158899491792657,0,Wednesday,ANDROID,1,0
35,F,687.6252620635606,4,No registrado,No registrado,Física,62000,45,En proceso,0,6.188627358572045,0,Tuesday,.,1,1
36,F,305.17807814460286,11,No registrado,No registrado,Física,62000,45,Aceptada,0,2.7466027033014258,0,Saturday,ANDROID,1,1
37,F,253.32714733925232,8,MPago,No registrado,Física,62000,45,Aceptada,0,2.5332714733925235,1,Tuesday,WEB,1,0
38,F,18.47114828371721,12,No registrado,No registrado,Virtual,62000,45,Rechazada,0,0.3694229656743442,0,Thursday,ANDROID,1,0
39,F,637.9485516072662,18,No registrado,No registrado,Física,62000,45,En proceso,0,6.379485516072662,0,Friday,WEB,5,0
40,F,812.3275523652159,23,Farmacia,No registrado,Física,62000,45,Aceptada,0,8.12327552365216,0,Monday,.,1,0
41,F,449.2023714873228,18,Super,No registrado,Virtual,62000,45,Aceptada,0,8.984047429746456,0,Tuesday,.,3,0
42,F,586.5076270484454,16,MPago,No registrado,Virtual,62000,45,Aceptada,0,10.55713728687202,0,Saturday,%%,1,1
45,M,948.7450690540708,7,Super,Monterrey,Virtual,44000,42,Aceptada,0,15.179921104865135,0,Wednesday,%%,5,1
46,M,723.5893625867183,17,Restaurante,Monterrey,Física,44000,42,Aceptada,0,7.235893625867183,0,Sunday,.,3,0
47,M,784.7254218154008,21,Abarrotes,Monterrey,Virtual,44000,42,En proceso,0,15.694508436308016,0,Saturday,ANDROID,2,0
48,F,513.6973954819769,2,Super,No registrado,Física,81000,57,Aceptada,0,5.136973954819768,0,Tuesday,%%,2,0
49,M,188.4987297922671,9,Farmacia,Monterrey,Física,64000,45,Aceptada,0,1.696488568130404,0,Tuesday,ANDROID,3,1
50,M,169.3842359905502,17,Restaurante,Monterrey,Física,64000,45,Rechazada,0,1.693842359905502,0,Friday,.,2,0
52,Error registro,972.6180779128426,10,No registrado,Merida,Virtual,34000,48,Aceptada,1,19.45236155825685,0,Thursday,%%,2,0
53,Error registro,86.32159085768498,13,Farmacia,Merida,Física,34000,48,Aceptada,1,0.7768943177191648,0,Monday,ANDROID,1,1
55,Error registro,276.9087652668464,5,Super,Merida,Física,34000,48,En proceso,1,2.769087652668464,0,Friday,ANDROID,3,0
57,M,499.91101266967695,15,No registrado,Toluca,Física,67000,35,Aceptada,0,4.9991101266967695,0,Monday,%%,5,0
58,M,236.85622293502573,1,Farmacia,Toluca,Física,67000,35,Aceptada,0,2.3685622293502573,0,Friday,.,4,0
60,M,634.1325602697701,3,Farmacia,Toluca,Virtual,67000,35,Aceptada,0,12.682651205395402,0,Monday,.,4,0
61,M,823.0559347435274,9,Restaurante,Toluca,Física,67000,35,Aceptada,0,7.407503412691746,0,Thursday,%%,2,1
63,M,499.3875434292895,5,No registrado,Toluca,Virtual,67000,35,Aceptada,0,9.98775086858579,0,Wednesday,WEB,5,0
64,M,670.9361401547723,22,MPago,Toluca,Física,67000,35,Aceptada,0,6.7093614015477225,0,Saturday,ANDROID,2,0
65,M,409.54376786142257,14,MPago,Toluca,Virtual,67000,35,Aceptada,0,7.371787821505606,0,Tuesday,%%,4,1
66,M,702.8178848220278,8,No registrado,Toluca,Física,67000,35,Aceptada,0,6.325360963398251,0,Friday,WEB,1,1
67,M,415.59928516238296,8,No registrado,Toluca,Física,67000,35,Aceptada,0,3.324794281299064,0,Tuesday,.,3,1
70,M,133.4416696043085,5,Super,Toluca,Virtual,87000,43,Aceptada,0,2.4019500528775533,0,Sunday,.,1,1
71,M,100.2492617307662,21,Abarrotes,Toluca,Física,87000,43,En proceso,0,1.002492617307662,0,Thursday,ANDROID,2,0
73,M,906.7733692369184,23,Restaurante,Toluca,Virtual,87000,43,En proceso,0,16.321920646264534,0,Sunday,WEB,5,1
74,M,627.4017008178096,7,Super,Toluca,Física,87000,43,Rechazada,0,6.274017008178096,0,Thursday,ANDROID,1,0
75,M,421.1706331175533,21,Abarrotes,Toluca,Virtual,87000,43,En proceso,0,8.423412662351067,0,Wednesday,WEB,1,0
77,M,707.3573677496145,19,No registrado,Toluca,Física,87000,43,Aceptada,0,7.073573677496145,0,Wednesday,.,1,0
78,M,712.1848213454116,14,No registrado,No registrado,Física,67000,46,Aceptada,0,6.409663392108704,0,Thursday,ANDROID,3,1
79,M,479.63088979516976,9,Super,No registrado,Virtual,67000,46,En proceso,0,8.633356016313057,0,Tuesday,WEB,1,1
81,M,708.4591551302301,14,MPago,No registrado,Física,67000,46,En proceso,0,7.084591551302301,0,Sunday,.,2,0
82,M,857.1079771746674,19,No registrado,Guadalajara,Física,76000,49,Aceptada,0,7.713971794572007,0,Monday,WEB,4,1
83,M,749.2223800245192,21,Restaurante,Merida,Física,65000,57,Aceptada,0,7.492223800245192,0,Thursday,ANDROID,3,0
84,F,616.7447328272654,6,Abarrotes,No registrado,Física,28000,42,Rechazada,0,4.933957862618123,0,Friday,%%,4,1
86,F,962.2321430604544,11,Abarrotes,No registrado,Física,28000,42,Aceptada,0,9.622321430604543,0,Wednesday,.,1,0
87,F,60.7585500953417,11,Super,No registrado,Virtual,28000,42,En proceso,0,1.0936539017161506,0,Sunday,.,1,1
90,F,567.3371531834287,23,Super,No registrado,Física,28000,42,En proceso,0,5.673371531834286,0,Saturday,ANDROID,2,0
92,F,407.03491658537,8,Super,No registrado,Virtual,28000,42,Aceptada,0,8.1406983317074,0,Saturday,ANDROID,4,0
93,F,428.52175744509645,22,Abarrotes,No registrado,Virtual,28000,42,En proceso,0,8.570435148901929,0,Friday,ANDROID,2,0
94,F,588.0450687528693,5,Super,No registrado,Física,28000,42,Aceptada,0,5.880450687528692,0,Wednesday,%%,1,0
95,F,619.0278896164032,4,Abarrotes,No registrado,Virtual,28000,42,Aceptada,0,12.380557792328064,0,Tuesday,.,1,0
97,F,837.7639764042643,7,Farmacia,No registrado,Virtual,28000,42,En proceso,0,16.755279528085286,0,Tuesday,WEB,3,0
98,F,186.38230638884147,1,MPago,No registrado,Física,28000,42,Aceptada,0,1.8638230638884148,0,Tuesday,ANDROID,3,0
99,F,997.1287346306352,17,No registrado,No registrado,Física,28000,42,En proceso,0,8.974158611675717,0,Saturday,WEB,4,1
100,F,705.462887232257,9,No registrado,No registrado,Física,28000,42,Aceptada,0,6.349165985090313,1,Wednesday,.,4,1
101,F,635.4846957810081,21,Restaurante,No registrado,Física,27000,46,Aceptada,1,6.354846957810081,0,Tuesday,ANDROID,1,0
103,F,345.240446709034,12,No registrado,No registrado,Física,27000,46,Aceptada,1,3.45240446709034,0,Sunday,.,2,0
105,M,34.65845210898899,23,Super,Monterrey,Física,99000,45,Aceptada,0,0.3119260689809009,0,Monday,%%,4,1
107,M,313.87167972105647,6,MPago,Monterrey,Física,99000,45,Aceptada,0,3.1387167972105647,0,Saturday,ANDROID,2,0
108,M,866.2378496375692,14,Farmacia,Monterrey,Virtual,99000,45,Aceptada,0,15.592281293476248,0,Monday,ANDROID,2,1
109,M,283.2662306546212,4,Farmacia,Monterrey,Virtual,99000,45,En proceso,0,5.665324613092424,0,Tuesday,%%,1,0
110,M,972.9337878175044,23,Abarrotes,Monterrey,Física,99000,45,Aceptada,0,9.729337878175045,0,Thursday,WEB,5,0
111,M,631.8958295894402,3,No registrado,Merida,Física,73000,40,Rechazada,0,5.687062466304962,0,Monday,.,5,1
112,M,976.3313818394388,21,Farmacia,Merida,Virtual,73000,40,En proceso,0,19.526627636788778,0,Thursday,%%,4,0
113,M,761.3511411813425,18,No registrado,Merida,Virtual,73000,40,Aceptada,0,13.704320541264169,0,Tuesday,.,1,1
114,M,662.6060305609493,16,No registrado,Merida,Física,73000,40,Aceptada,0,6.626060305609493,0,Thursday,ANDROID,3,0
115,M,715.2173519354,10,No registrado,Merida,Virtual,73000,40,Aceptada,0,12.8739123348372,0,Monday,.,2,1
116,M,66.32336838804453,22,Abarrotes,Merida,Física,73000,40,Aceptada,0,0.6632336838804453,0,Sunday,%%,1,0
118,M,402.7669376068962,4,No registrado,Monterrey,Física,63000,49,Rechazada,0,4.027669376068962,0,Tuesday,%%,4,0
119,M,623.3566391694199,10,No registrado,Monterrey,Física,63000,49,Aceptada,0,5.610209752524779,0,Wednesday,ANDROID,4,1
121,M,79.87989242137749,16,No registrado,No registrado,Virtual,81000,54,Aceptada,0,1.59759784842755,0,Sunday,WEB,2,0
125,M,639.4574483644933,13,Super,Monterrey,Virtual,50000,32,Aceptada,0,11.51023407056088,0,Wednesday,%%,4,1
126,F,317.2962767123152,13,Farmacia,No registrado,Física,73000,58,Aceptada,0,3.172962767123152,0,Wednesday,WEB,2,0
127,F,999.3514183316116,7,No registrado,No registrado,Física,73000,58,Rechazada,0,9.993514183316115,0,Friday,ANDROID,1,0
128,F,864.2407100327763,18,No registrado,No registrado,Virtual,73000,58,Aceptada,0,17.284814200655525,0,Friday,%%,1,0
129,F,861.8657164244546,4,Super,No registrado,Física,73000,58,Aceptada,0,8.618657164244546,0,Thursday,WEB,1,0
130,F,332.1103325381899,22,No registrado,No registrado,Física,73000,58,En proceso,0,3.3211033253818987,0,Tuesday,.,4,0
131,F,808.0745545050114,10,MPago,No registrado,Física,73000,58,Rechazada,0,8.080745545050114,0,Tuesday,WEB,3,0
132,F,779.0121648875269,9,Abarrotes,No registrado,Física,73000,58,Aceptada,0,7.011109483987743,0,Thursday,%%,4,1
135,F,174.13595546463057,18,No registrado,No registrado,Virtual,73000,58,En proceso,0,3.1344471983633504,0,Saturday,.,3,1
137,F,881.9959251364712,12,Farmacia,No registrado,Física,73000,58,Aceptada,0,7.05596740109177,1,Saturday,ANDROID,4,1
139,F,78.36063584148224,5,Abarrotes,No registrado,Física,73000,58,En proceso,0,0.7836063584148224,0,Tuesday,.,1,0
140,F,58.58122951303813,4,No registrado,No registrado,Física,73000,58,Rechazada,0,0.5858122951303812,0,Sunday,.,3,0
141,F,351.033543850225,7,Farmacia,No registrado,Virtual,73000,58,Aceptada,0,7.0206708770045,0,Wednesday,ANDROID,1,0
142,F,797.5858862146284,2,No registrado,No registrado,Física,73000,58,Aceptada,0,7.975858862146285,1,Monday,.,5,0
143,F,39.55001804195079,10,Restaurante,No registrado,Virtual,73000,58,En proceso,0,0.7910003608390159,1,Tuesday,%%,3,0
144,F,132.36427767552107,8,No registrado,No registrado,Virtual,46000,38,Aceptada,1,2.3825569981593797,0,Friday,.,2,1
145,F,648.4516695148571,13,No registrado,No registrado,Virtual,46000,38,Rechazada,1,12.969033390297144,0,Sunday,ANDROID,5,0
148,F,91.51225769809068,4,No registrado,No registrado,Física,46000,38,Aceptada,1,0.9151225769809068,0,Tuesday,.,5,0
149,F,311.4640855480125,16,MPago,No registrado,Física,46000,38,Rechazada,1,3.114640855480125,0,Saturday,ANDROID,5,0
150,F,140.75179633611046,5,Restaurante,No registrado,Física,46000,38,Aceptada,1,1.4075179633611046,0,Thursday,WEB,4,0
151,F,557.6974579968572,6,Restaurante,No registrado,Virtual,46000,38,Aceptada,1,11.153949159937143,0,Thursday,ANDROID,2,0
152,F,979.2473924645248,1,MPago,No registrado,Física,46000,38,Aceptada,1,8.813226532180725,0,Saturday,%%,3,1
153,F,501.7734473563647,15,No registrado,No registrado,Virtual,46000,38,Rechazada,1,9.031922052414568,0,Thursday,%%,4,1
154,F,421.0491592116822,18,No registrado,No registrado,Física,46000,38,Aceptada,1,4.2104915921168224,0,Sunday,ANDROID,3,0
155,F,350.004589921033,6,No registrado,No registrado,Virtual,46000,38,Rechazada,1,6.300082618578594,0,Monday,%%,3,1
156,F,542.3809189750749,4,Farmacia,No registrado,Física,46000,38,Rechazada,1,5.423809189750749,0,Monday,WEB,1,0
157,F,651.1433537966739,18,Farmacia,No registrado,Virtual,46000,38,Aceptada,1,13.022867075933478,0,Friday,ANDROID,5,0
158,F,427.1474088425795,21,MPago,No registrado,Física,46000,38,Aceptada,1,4.271474088425795,0,Saturday,WEB,3,0
159,F,15.930063719208798,18,Restaurante,No registrado,Física,46000,38,En proceso,1,0.1593006371920879,0,Wednesday,WEB,5,0
160,F,747.5624253744019,14,No registrado,No registrado,Virtual,46000,38,Aceptada,1,13.456123656739232,0,Monday,%%,5,1
162,F,542.7425376572878,4,MPago,No registrado,Física,46000,38,Aceptada,1,5.427425376572878,0,Friday,%%,2,0
163,F,170.62997168627624,8,Farmacia,No registrado,Virtual,46000,38,En proceso,1,3.0713394903529725,0,Sunday,ANDROID,5,1
164,F,257.49660825386155,19,MPago,Guadalajara,Física,62000,34,Aceptada,0,2.574966082538616,0,Sunday,ANDROID,4,0
165,F,410.1874442830733,10,No registrado,Guadalajara,Física,62000,34,Aceptada,0,4.101874442830733,0,Saturday,WEB,5,0
167,F,501.2713835336284,19,MPago,Guadalajara,Física,62000,34,Aceptada,0,5.012713835336284,1,Saturday,%%,4,0
168,F,227.96305977100693,21,No registrado,Guadalajara,Virtual,62000,34,Rechazada,0,4.559261195420139,0,Thursday,.,5,0
169,F,339.6340619935424,13,No registrado,Guadalajara,Virtual,62000,34,Aceptada,0,6.792681239870848,0,Tuesday,%%,3,0
170,F,151.08128360090456,11,Restaurante,No registrado,Física,85000,64,En proceso,0,1.2086502688072365,0,Friday,%%,5,1
171,F,296.8802651544016,3,Super,No registrado,Física,85000,64,Aceptada,0,2.6719223863896144,0,Tuesday,%%,3,1
176,Error registro,427.17214296989846,2,MPago,Guadalajara,Física,81000,50,Rechazada,0,4.271721429698984,0,Wednesday,%%,5,0
177,Error registro,318.88350515240404,15,Super,Guadalajara,Física,81000,50,En proceso,0,3.1888350515240407,0,Sunday,WEB,4,0
178,Error registro,143.2235860679516,5,No registrado,Guadalajara,Física,81000,50,En proceso,0,1.1457886885436128,0,Wednesday,ANDROID,2,1
179,Error registro,574.0189560690341,17,Restaurante,Guadalajara,Física,81000,50,Rechazada,0,5.74018956069034,0,Tuesday,.,5,0
180,F,186.13499656551411,14,Super,Toluca,Virtual,27000,50,Aceptada,0,3.722699931310283,0,Saturday,%%,5,0
181,F,903.9216650514608,2,MPago,Toluca,Virtual,27000,50,Aceptada,0,16.270589970926295,0,Sunday,ANDROID,1,1
182,F,290.96049868844256,7,Abarrotes,Toluca,Virtual,27000,50,Rechazada,0,5.237288976391966,0,Sunday,WEB,3,1
183,F,36.79599961781088,14,Farmacia,Toluca,Virtual,27000,50,Aceptada,0,0.6623279931205958,0,Wednesday,.,1,1
184,F,79.23058844283626,8,Farmacia,Toluca,Física,27000,50,Aceptada,0,0.7923058844283627,0,Saturday,ANDROID,4,0
185,F,972.393309700562,10,No registrado,Toluca,Física,27000,50,Aceptada,0,9.723933097005622,0,Friday,ANDROID,1,0
190,F,973.5972004710668,7,Restaurante,Toluca,Física,27000,50,Aceptada,0,9.735972004710668,0,Monday,.,1,0
191,F,545.7677863405962,11,Farmacia,Toluca,Física,27000,50,Aceptada,0,5.457677863405962,0,Monday,WEB,2,0
192,F,10.027912977996769,2,MPago,Toluca,Física,27000,50,Aceptada,0,0.1002791297799676,0,Thursday,ANDROID,4,0
193,F,487.06914784778576,13,MPago,Toluca,Física,27000,50,Aceptada,0,4.870691478477858,0,Monday,.,2,0
194,F,278.8115728244627,11,Farmacia,Toluca,Física,27000,50,Aceptada,0,2.788115728244627,0,Monday,ANDROID,1,0
195,F,367.7801121406592,19,No registrado,Toluca,Virtual,27000,50,En proceso,0,6.620042018531866,0,Sunday,WEB,3,1
196,F,405.1222201025795,6,Abarrotes,Toluca,Física,27000,50,Aceptada,0,4.051222201025795,0,Monday,WEB,5,0
197,F,702.066217593178,14,Restaurante,Toluca,Física,27000,50,Aceptada,0,7.02066217593178,0,Saturday,ANDROID,3,0
199,F,156.06244293174242,6,Super,Toluca,Virtual,27000,50,Aceptada,0,2.809123972771364,0,Sunday,%%,3,1
200,F,332.3329744294138,16,Super,Toluca,Física,27000,50,Aceptada,0,2.9909967698647244,0,Thursday,ANDROID,4,1
201,F,600.0917241996661,14,Restaurante,No registrado,Física,84000,51,Aceptada,0,5.400825517796995,0,Sunday,%%,2,1
202,F,328.9701084649084,6,MPago,No registrado,Física,84000,51,Rechazada,0,2.960730976184176,0,Monday,WEB,3,1
203,F,259.09933968613086,23,No registrado,No registrado,Virtual,84000,51,En proceso,0,4.663788114350356,0,Monday,%%,5,1
206,M,290.83663426832106,17,No registrado,No registrado,Física,94000,42,En proceso,0,2.9083663426832107,0,Saturday,%%,5,0
207,M,567.5750555307868,9,Super,No registrado,Física,94000,42,Aceptada,0,5.675750555307868,0,Monday,ANDROID,1,0
208,M,739.1438719603232,18,No registrado,No registrado,Física,94000,42,En proceso,0,7.391438719603232,0,Thursday,WEB,2,0
209,M,663.6593098655226,23,Farmacia,No registrado,Física,94000,42,Rechazada,0,6.636593098655226,0,Friday,ANDROID,1,0
211,M,703.7757208092221,12,No registrado,No registrado,Física,94000,42,Aceptada,0,6.333981487282999,0,Friday,WEB,1,1
212,M,612.3289173983209,14,Abarrotes,No registrado,Física,94000,42,En proceso,0,5.510960256584888,0,Thursday,WEB,3,1
214,M,278.0149519980193,22,Super,No registrado,Física,94000,42,Aceptada,0,2.780149519980193,0,Monday,ANDROID,3,0
215,M,594.6533856785604,2,No registrado,No registrado,Física,94000,42,Rechazada,0,5.3518804711070445,0,Thursday,ANDROID,2,1
217,M,49.32154844073467,4,Farmacia,No registrado,Física,94000,42,En proceso,0,0.4932154844073467,0,Tuesday,ANDROID,1,0
218,M,580.4064247603739,13,Super,No registrado,Virtual,94000,42,En proceso,0,10.44731564568673,0,Sunday,ANDROID,2,1
219,M,296.68487433493885,4,Farmacia,No registrado,Física,94000,42,Aceptada,0,2.9668487433493884,0,Thursday,WEB,4,0
220,M,225.53209842030387,1,Restaurante,No registrado,Física,94000,42,Rechazada,0,2.255320984203039,0,Thursday,WEB,1,0
221,M,434.9411103482382,16,No registrado,No registrado,Física,94000,42,Rechazada,0,3.914469993134144,0,Friday,WEB,4,1
222,M,112.49173782332068,2,Abarrotes,No registrado,Física,94000,42,Aceptada,0,1.1249173782332067,0,Tuesday,%%,2,0
224,M,913.1224724129688,6,Abarrotes,Monterrey,Física,37000,46,Aceptada,1,9.131224724129687,0,Sunday,.,4,0
225,F,529.0987556494358,7,Restaurante,Toluca,Física,39000,34,En proceso,0,5.290987556494359,0,Friday,WEB,5,0
226,F,439.2226908089141,22,Farmacia,Toluca,Virtual,39000,34,Aceptada,0,8.784453816178281,0,Friday,ANDROID,3,0
227,F,626.4215440823108,11,No registrado,Toluca,Física,39000,34,Aceptada,0,6.264215440823108,0,Saturday,.,3,0
228,F,984.4620951871964,9,Restaurante,Toluca,Física,39000,34,En proceso,0,9.844620951871963,0,Friday,.,1,0
229,F,636.7691093985392,8,Restaurante,Toluca,Virtual,39000,34,Aceptada,0,12.735382187970783,0,Monday,ANDROID,2,0
231,F,362.61620245470726,4,Abarrotes,Toluca,Virtual,39000,34,Aceptada,0,6.527091644184731,0,Thursday,.,4,1
232,F,328.3821736616993,14,Super,Toluca,Física,39000,34,Aceptada,0,3.2838217366169933,0,Monday,.,5,0
236,F,568.5131405752186,21,Abarrotes,No registrado,Física,30000,58,Aceptada,0,5.685131405752186,0,Sunday,.,5,0
237,F,6.478782030749253,23,Abarrotes,No registrado,Física,30000,58,Aceptada,0,0.0647878203074925,0,Friday,WEB,1,0
238,F,905.2895043491671,18,Restaurante,No registrado,Física,37000,54,Aceptada,0,9.052895043491672,0,Friday,%%,3,0
241,F,419.2671080222445,6,Farmacia,No registrado,Física,37000,54,Aceptada,0,4.192671080222445,0,Sunday,WEB,4,0
242,F,528.0190952610958,7,No registrado,No registrado,Física,37000,54,Aceptada,0,4.752171857349863,0,Thursday,%%,3,1
243,F,136.61473132602086,8,MPago,No registrado,Virtual,37000,54,Rechazada,0,2.459065163868376,0,Monday,ANDROID,2,1
245,F,567.2681882756989,9,Farmacia,No registrado,Física,37000,54,En proceso,0,5.672681882756989,0,Saturday,.,3,0
246,F,726.6566527345543,8,No registrado,No registrado,Física,37000,54,Aceptada,0,7.266566527345543,0,Sunday,%%,3,0
247,F,713.8819555100871,7,MPago,No registrado,Física,37000,54,Rechazada,0,7.138819555100871,0,Sunday,ANDROID,4,0
254,M,961.5826093547784,3,Super,No registrado,Física,61000,55,Aceptada,0,9.615826093547785,0,Monday,ANDROID,2,0
255,M,33.60500477158668,5,No registrado,No registrado,Física,61000,55,Aceptada,0,0.3360500477158668,0,Friday,.,2,0
257,M,235.8897391322168,12,Abarrotes,No registrado,Física,61000,55,Aceptada,0,2.358897391322168,0,Wednesday,%%,2,0
258,M,345.1883686491063,5,Restaurante,No registrado,Virtual,61000,55,Rechazada,0,6.903767372982125,0,Sunday,.,4,0
259,M,415.2523504858355,4,MPago,No registrado,Virtual,61000,55,Aceptada,0,8.305047009716711,0,Sunday,%%,1,0
261,M,679.7326258144687,14,MPago,No registrado,Física,61000,55,En proceso,0,6.797326258144688,0,Saturday,%%,1,0
262,M,517.5618258332328,23,Restaurante,No registrado,Física,61000,55,En proceso,0,5.175618258332328,0,Wednesday,.,5,0
263,M,389.8196602451293,2,No registrado,No registrado,Virtual,61000,55,Aceptada,0,7.016753884412327,0,Wednesday,%%,3,1
264,M,97.47551759625097,8,No registrado,Toluca,Física,89000,52,Aceptada,0,0.9747551759625096,0,Sunday,.,1,0
268,M,457.67848180773785,16,Restaurante,Toluca,Virtual,89000,52,Rechazada,0,9.153569636154756,0,Friday,.,1,0
269,M,414.0372893722989,2,Restaurante,Merida,Virtual,55000,34,Aceptada,0,8.280745787445978,0,Friday,ANDROID,5,0
270,M,805.7808308854803,7,Super,Merida,Física,55000,34,Aceptada,0,7.252027477969323,0,Saturday,.,2,1
271,M,655.3624244710855,21,No registrado,Merida,Física,55000,34,Aceptada,0,6.553624244710855,0,Saturday,%%,5,0
273,M,531.8688038062415,22,MPago,Merida,Virtual,55000,34,Aceptada,0,10.63737607612483,0,Sunday,.,4,0
274,F,923.3705242404716,7,Restaurante,Guadalajara,Física,50000,51,Aceptada,0,9.233705242404715,0,Sunday,%%,3,0
276,F,593.7096095407006,7,No registrado,Guadalajara,Física,50000,51,Aceptada,0,5.343386485866306,0,Friday,.,5,1
277,F,488.2589091983798,17,No registrado,Guadalajara,Física,50000,51,Aceptada,0,4.882589091983798,0,Tuesday,.,4,0
278,F,948.47279663299,10,Farmacia,Guadalajara,Física,50000,51,Aceptada,0,8.536255169696911,0,Sunday,.,5,1
279,F,170.16115125298947,1,MPago,Guadalajara,Física,50000,51,Aceptada,0,1.7016115125298947,0,Tuesday,.,1,0
283,F,569.1663273429658,7,Restaurante,Guadalajara,Física,50000,51,Rechazada,0,5.691663273429659,0,Wednesday,.,4,0
284,F,854.8933595118581,17,MPago,Guadalajara,Física,50000,51,En proceso,0,7.694040235606724,0,Saturday,ANDROID,4,1
285,F,247.2262431072646,20,Super,Guadalajara,Virtual,50000,51,Aceptada,0,4.450072375930763,0,Wednesday,WEB,3,1
287,F,129.64165963020957,14,No registrado,Guadalajara,Física,50000,51,Aceptada,0,1.2964165963020955,0,Monday,ANDROID,3,0
288,F,654.5167040459952,18,No registrado,Guadalajara,Física,50000,51,Aceptada,0,6.545167040459952,0,Thursday,ANDROID,2,0
289,F,566.7140498211749,10,No registrado,Guadalajara,Física,50000,51,Aceptada,0,5.667140498211749,0,Tuesday,%%,3,0
290,M,324.1249093202021,22,Restaurante,Guadalajara,Física,86000,42,Aceptada,0,3.241249093202021,0,Wednesday,%%,1,0
291,M,552.5918544867154,2,Restaurante,Guadalajara,Virtual,86000,42,Aceptada,0,11.051837089734308,0,Sunday,.,3,0
292,M,939.746539120392,19,No registrado,Guadalajara,Física,86000,42,Aceptada,0,9.39746539120392,0,Tuesday,%%,4,0
293,M,88.3946395912143,9,Abarrotes,Guadalajara,Física,86000,42,En proceso,0,0.883946395912143,0,Monday,.,1,0
294,M,971.8781176052538,13,Super,Guadalajara,Física,86000,42,Aceptada,0,9.718781176052538,0,Tuesday,%%,3,0
296,F,242.56213963088925,14,MPago,No registrado,Física,35000,64,Aceptada,1,2.4256213963088924,0,Tuesday,ANDROID,1,0
